Date	Time	Binary	Target	Elapsed	Cores	Execs	Exec/sec	Cycles	Paths	Crashes	Reason	TestVer
2023-08-30	09:03:21	/usr/local/bin/php-cgi	/var/www/openemr/        	1200	4	1054919	963	3150	1	0		
2023-08-30	09:23:38	/usr/local/bin/php-cgi	/var/www/openemr/interface/login/login.php	1200	4	314329	364	157	8	0		
2023-08-30	09:43:56	/usr/local/bin/php-cgi	/var/www/openemr/interface/themes/themeBuilder.php	1200	4	289001	143	49	8	0		
2023-08-30	10:04:13	/usr/local/bin/php-cgi	/var/www/openemr/interface/product_registration/product_registration_controller.php	1200	4	320657	317	200	8	0		
2023-08-30	10:24:30	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/main_screen.php	1199	4	163735	114	52	24	0		
2023-08-30	10:44:47	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/tabs/main.php	1200	4	280515	61	48	8	0		
2023-08-30	11:05:04	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/tabs/timeout_iframe.php	1199	4	283945	292	46	9	0		
2023-08-30	11:25:21	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/main_info.php	1201	4	225689	211	46	8	0		
2023-08-30	11:45:39	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/messages/messages.php	1200	4	336726	200	57	17	0		
2023-08-30	12:05:56	/usr/local/bin/php-cgi	/var/www/openemr/library/ajax/dated_reminders_counter.php	1200	4	279451	335	44	8	0		
2023-08-30	12:26:13	/usr/local/bin/php-cgi	/var/www/openemr/library/ajax/execute_background_services.php	1200	4	68946	35	4	10	0		
2023-08-30	12:46:30	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/calendar/index.php	1200	4	280546	215	77	12	0		
2023-08-30	13:06:47	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/dated_reminders/dated_reminders.php	1200	4	263488	220	39	8	0		
2023-08-30	13:27:05	/usr/local/bin/php-cgi	/var/www/openemr/interface/usergroup/facilities.php	1200	4	295596	268	38	10	0		
2023-08-30	13:47:22	/usr/local/bin/php-cgi	/var/www/openemr/interface/weno/admin.php	1200	4	289532	161	48	8	0		
2023-08-30	14:07:39	/usr/local/bin/php-cgi	/var/www/openemr/interface/usergroup/addrbook_list.php	1200	4	367046	179	76	16	0		
2023-08-30	14:27:56	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/referrals_report.php	1200	4	387205	284	91	29	0		
2023-08-30	14:48:13	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/backup.php	1199	4	316641	205	42	10	0		
2023-08-30	15:08:30	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/manage_site_files.php	1200	4	322493	296	45	9	0		
2023-08-30	15:28:47	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/edit_list.php	1200	4	305146	288	59	18	0		
2023-08-30	15:49:04	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/edit_layout.php	1199	4	287191	198	42	8	0		
2023-08-30	16:09:21	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/rules/index.php	1200	4	335015	330	46	10	0		
2023-08-30	16:29:38	/usr/local/bin/php-cgi	/var/www/openemr/interface/code_systems/dataloads_ajax.php	1200	4	338280	330	58	8	0		
2023-08-30	16:49:55	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_file/reminder/patient_reminders.php	1200	4	315391	215	45	8	0		
2023-08-30	17:10:12	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	1200	4	398882	369	64	33	0		
2023-08-30	17:30:30	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_file/encounter/superbill_custom_full.php	1201	4	336059	287	71	23	0		
2023-08-30	17:50:48	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/edit_globals.php	1200	4	322228	139	51	11	0		
2023-08-30	18:11:05	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_file/merge_patients.php	1200	4	330242	201	63	13	0		
2023-08-30	18:31:23	/usr/local/bin/php-cgi	/var/www/openemr/interface/billing/sl_eob_search.php	1200	4	298957	165	43	8	0		
2023-08-30	18:51:40	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/types.php	1200	4	308165	257	46	8	0		
2023-08-30	19:11:57	/usr/local/bin/php-cgi	/var/www/openemr/interface/language/language.php	1200	4	376867	479	86	27	0		
2023-08-30	19:32:14	/usr/local/bin/php-cgi	/var/www/openemr/interface/forms_admin/forms_admin.php	1200	4	342120	325	59	12	0		
2023-08-30	19:52:31	/usr/local/bin/php-cgi	/var/www/openemr/interface/billing/edih_view.php	1200	4	258843	222	40	9	0		
2023-08-30	20:12:49	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/orders_results.php	1201	4	352978	256	62	35	0		
2023-08-30	20:33:07	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/display_documents.php	1200	4	313870	157	50	8	0		
2023-08-30	20:53:24	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/procedure_provider_list.php	1199	4	315460	284	46	8	0		
2023-08-30	21:13:41	/usr/local/bin/php-cgi	/var/www/openemr/interface/billing/new_payment.php	1200	4	340252	269	67	16	0		
2023-08-30	21:33:58	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/about_page.php	1200	4	318821	358	51	8	0		
2023-08-30	21:54:15	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_tracker/patient_tracker.php	1199	4	318318	257	54	17	0		
2023-08-30	22:14:32	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/manage_document_templates.php	1200	4	310675	267	45	8	0		
2023-08-30	22:34:49	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_file/barcode_label.php	1200	4	294023	267	52	8	0		
2023-08-30	22:55:07	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/appointments_report.php	1201	4	355015	260	61	35	0		
2023-08-30	23:15:25	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/daily_summary_report.php	1200	4	345695	325	57	33	0		
2023-08-30	23:35:42	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/appt_encounter_report.php	1200	4	343358	298	79	28	0		
2023-08-30	23:56:00	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/edi_271.php	1201	4	260829	195	31	9	0		
2023-08-31	00:16:18	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/encounters_report.php	1201	4	315827	310	59	21	0		
2023-08-31	00:36:36	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/custom_report_range.php	1201	4	349260	282	74	30	0		
2023-08-31	00:56:54	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/prescriptions_report.php	1201	4	331981	331	66	16	0		
2023-08-31	01:17:12	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/immunization_report.php	1200	4	357542	465	64	38	0		
2023-08-31	01:37:29	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/clinical_reports.php	1200	4	303242	255	58	16	0		
2023-08-31	01:57:47	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/patient_list.php	1200	4	306591	319	59	19	0		
2023-08-31	02:18:05	/usr/local/bin/php-cgi	/var/www/openemr/interface/usergroup/usergroup_admin.php	1200	4	318465	298	58	17	0		
2023-08-31	02:38:22	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/finder/dynamic_finder.php	1200	4	292257	87	42	8	0		
2023-08-31	02:58:39	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/finder/dynamic_finder_ajax.php	1200	4	271180	239	38	8	0		
2023-08-31	03:14:26	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/insurance_allocation_report.php	929	4	210921	400	45	13	0		
