Date	Time	Binary	Target	Elapsed	Cores	Execs	Exec/sec	Cycles	Paths	Crashes	Reason	TestVer
2023-08-30	16:21:41	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/tabs/main.php	1200	1	163353	201	147	4	0		
2023-08-30	16:41:58	/usr/local/bin/php-cgi	/var/www/openemr/        	1200	1	358504	292	1392	1	0		
2023-08-30	17:02:15	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/messages/messages.php	1200	1	501499	110	1951	13	0		
2023-08-30	17:22:32	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/tabs/timeout_iframe.php	1201	1	622121	111	2422	4	0		
2023-08-30	17:42:49	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/main_info.php	1199	1	172105	209	157	4	0		
2023-08-30	18:03:06	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_tracker/patient_tracker.php	1200	1	186604	190	78	13	0		
2023-08-30	18:23:23	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/about_page.php	1200	1	165930	200	150	4	0		
2023-08-30	18:43:40	/usr/local/bin/php-cgi	/var/www/openemr/interface/login/login.php	1200	1	218272	217	2184	4	0		
2023-08-30	19:03:57	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/finder/dynamic_finder.php	1200	1	227071	221	88	4	0		
2023-08-30	19:24:14	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/calendar/index.php	1200	1	222581	221	111	5	0		
2023-08-30	19:44:31	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/main_screen.php	1200	1	102106	205	701	5	0		
2023-08-30	20:04:48	/usr/local/bin/php-cgi	/var/www/openemr/interface/themes/themeBuilder.php	1201	1	127263	197	257	4	0		
